comune,comune_codice_istat,stemma_araldica,stemma,nome_file,comune_codice_istat,comune_codice_istat,est
Bricherasio,001035,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Bricherasio-scaled.jpg?fit=232%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Bricherasio-scaled.jpg,Bricherasio-scaled.jpg,001035,001035,jpg
Brosso,001036,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Brosso.jpg?fit=218%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Brosso.jpg,Brosso.jpg,001036,001036,jpg
Brozolo,001037,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Brozolo-1.jpg?fit=208%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Brozolo-1.jpg,Brozolo-1.jpg,001037,001037,jpg
Bruino,001038,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/bruino.jpg?fit=237%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/bruino.jpg,bruino.jpg,001038,001038,jpg
Brusasco,001039,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/brusasco.jpg?fit=236%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/brusasco.jpg,brusasco.jpg,001039,001039,jpg
Bruzolo,001040,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/bruzolo.jpg?fit=300%2C282&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/bruzolo.jpg,bruzolo.jpg,001040,001040,jpg
Buriasco,001041,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/buriasco.jpg?fit=206%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/buriasco.jpg,buriasco.jpg,001041,001041,jpg
Burolo,001042,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2019/05/Burolo.jpg?fit=218%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Burolo.jpg,Burolo.jpg,001042,001042,jpg
Busano,001043,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/busano.jpg?fit=227%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/busano.jpg,busano.jpg,001043,001043,jpg
Bussoleno,001044,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Bussoleno.jpg?fit=215%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Bussoleno.jpg,Bussoleno.jpg,001044,001044,jpg
Buttigliera Alta,001045,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/buttiglieraalta.jpg?fit=229%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/buttiglieraalta.jpg,buttiglieraalta.jpg,001045,001045,jpg
Cafasse,001046,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/cafasse.jpg?fit=226%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/cafasse.jpg,cafasse.jpg,001046,001046,jpg
Caluso,001047,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/caluso.jpg?fit=263%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/caluso.jpg,caluso.jpg,001047,001047,jpg
Cambiano,001048,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/cambiano.jpg?fit=254%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/cambiano.jpg,cambiano.jpg,001048,001048,jpg
Campiglione Fenile,001049,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/campiglione-fenile.jpg?fit=229%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/campiglione-fenile.jpg,campiglione-fenile.jpg,001049,001049,jpg
Candia Canavese,001050,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Candia-Canavese.jpg?fit=218%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Candia-Canavese.jpg,Candia-Canavese.jpg,001050,001050,jpg
Candiolo,001051,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Candiolo.jpg?fit=216%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Candiolo.jpg,Candiolo.jpg,001051,001051,jpg
